Index,WEKO_ID,_id
obihiro_repo_nii_ac_jp-authors-author-v1.0.0,2,BiL2H4gBl_zCa22C3YRe
osaka_dent_repo_nii_ac_jp-authors-author-v1.0.0,1,ZsWtH4gBVTSFAAUAJsrq
osaka_dent_repo_nii_ac_jp-authors-author-v1.0.0,2,Z8WtH4gBVTSFAAUAJ8oL
osaka_dent_repo_nii_ac_jp-authors-author-v1.0.0,3,aMWtH4gBVTSFAAUAJ8oQ
redcross_repo_nii_ac_jp-authors-author-v1.0.0,1,qXRv2YgB58uJqIpJZ9wJ
repository_naro_go_jp-authors-author-v1.0.0,1,kjecH4gB8fumqOoGpjMv
seisen_repo_nii_ac_jp-authors-author-v1.0.0,1,r9f50ogB6TvFLesWFNj0
shigatan_repo_nii_ac_jp-authors-author-v1.0.0,1,=-zW-HogB1E8A6nnC2JF7
shk_repo_nii_ac_jp-authors-author-v1.0.0,1,=-tBnH4gB1lbiwnTjbt2_
shk_repo_nii_ac_jp-authors-author-v1.0.0,2,-9BnH4gB1lbiwnTjbt3m
shk_repo_nii_ac_jp-authors-author-v1.0.0,3,_NBnH4gB1lbiwnTjbt3s
shokei_repo_nii_ac_jp-authors-author-v1.0.0,1,kkV2HogBYW9KPvmonTUR
shokei_repo_nii_ac_jp-authors-author-v1.0.0,2,k0V2HogBYW9KPvmonTU4
shokei_repo_nii_ac_jp-authors-author-v1.0.0,3,lEV2HogBYW9KPvmonTU_
shokei_repo_nii_ac_jp-authors-author-v1.0.0,4,lUV2HogBYW9KPvmonTVF
shokei_repo_nii_ac_jp-authors-author-v1.0.0,5,lkV2HogBYW9KPvmonTVL
shokei_repo_nii_ac_jp-authors-author-v1.0.0,6,l0V2HogBYW9KPvmonTVR
shokei_repo_nii_ac_jp-authors-author-v1.0.0,7,mEV2HogBYW9KPvmonTVW
shokei_repo_nii_ac_jp-authors-author-v1.0.0,8,mUV2HogBYW9KPvmonTVb
shokei_repo_nii_ac_jp-authors-author-v1.0.0,9,mkV2HogBYW9KPvmonTVg
shokei_repo_nii_ac_jp-authors-author-v1.0.0,10,m0V2HogBYW9KPvmonTVl
shokei_repo_nii_ac_jp-authors-author-v1.0.0,11,nEV2HogBYW9KPvmonTVq
shokei_repo_nii_ac_jp-authors-author-v1.0.0,12,nUV2HogBYW9KPvmonTVw
shokei_repo_nii_ac_jp-authors-author-v1.0.0,13,nkV2HogBYW9KPvmonTV1
shokei_repo_nii_ac_jp-authors-author-v1.0.0,14,n0V2HogBYW9KPvmonTV6
shokei_repo_nii_ac_jp-authors-author-v1.0.0,15,oEV2HogBYW9KPvmonTWA
tais_repo_nii_ac_jp-authors-author-v1.0.0,1,sbHj0ogBFRLwo-3qwC8X
tais_repo_nii_ac_jp-authors-author-v1.0.0,2,srHj0ogBFRLwo-3qwC8c
tais_repo_nii_ac_jp-authors-author-v1.0.0,3,s7Hj0ogBFRLwo-3qwC8i
tais_repo_nii_ac_jp-authors-author-v1.0.0,4,tLHj0ogBFRLwo-3qwC8o
tais_repo_nii_ac_jp-authors-author-v1.0.0,5,tbHj0ogBFRLwo-3qwC8u
tais_repo_nii_ac_jp-authors-author-v1.0.0,6,trHj0ogBFRLwo-3qwC81
tmu_repo_nii_ac_jp-authors-author-v1.0.0,1,FbTn0ogBaJFgvUZPp1em
tmu_repo_nii_ac_jp-authors-author-v1.0.0,2,FrTn0ogBaJFgvUZPp1fH
tohto_u_repo_nii_ac_jp-authors-author-v1.0.0,1,OKqp0ogBbOam4j3DKPd-
tohto_u_repo_nii_ac_jp-authors-author-v1.0.0,2,Oaqp0ogBbOam4j3DKPel
tokoha_u_repo_nii_ac_jp-authors-author-v1.0.0,1,hid80ogBd7uLPw00ttuS
tokoha_u_repo_nii_ac_jp-authors-author-v1.0.0,2,hyd80ogBd7uLPw00ttu_
tokoha_u_repo_nii_ac_jp-authors-author-v1.0.0,3,iCd80ogBd7uLPw00ttvE
tokyo_ondai_repo_nii_ac_jp-authors-author-v1.0.0,1,3Ul00ogBPrphVBLqJOqm
tokyo_ondai_repo_nii_ac_jp-authors-author-v1.0.0,2,3kl00ogBPrphVBLqJOrQ
tokyo_ondai_repo_nii_ac_jp-authors-author-v1.0.0,3,30l00ogBPrphVBLqJOrV
tokyo_ondai_repo_nii_ac_jp-authors-author-v1.0.0,4,4El00ogBPrphVBLqJOrb
tokyo_ondai_repo_nii_ac_jp-authors-author-v1.0.0,5,4Ul00ogBPrphVBLqJOrg
tokyo_ondai_repo_nii_ac_jp-authors-author-v1.0.0,6,4kl00ogBPrphVBLqJOrk
tokyo_ondai_repo_nii_ac_jp-authors-author-v1.0.0,7,40l00ogBPrphVBLqJOrr
tsukuba_tech_repo_nii_ac_jp-authors-author-v1.0.0,1,1smHHogB-DuPQo96AdTl
tsukuba_tech_repo_nii_ac_jp-authors-author-v1.0.0,2,18mHHogB-DuPQo96AtQG
uekusa_repo_nii_ac_jp-authors-author-v1.0.0,1,Pm_QH4gBnXTBMXmkZbG8
uhe_repo_nii_ac_jp-authors-author-v1.0.0,1,6lh2HogBd29lurc9rkCg
uhe_repo_nii_ac_jp-authors-author-v1.0.0,2,61h2HogBd29lurc9rkDE
uhe_repo_nii_ac_jp-authors-author-v1.0.0,3,7Fh2HogBd29lurc9rkDM
uhe_repo_nii_ac_jp-authors-author-v1.0.0,4,7Vh2HogBd29lurc9rkDT
